age,sex,country,week,population,deaths,out_of_sample,cumulative_deaths,death_rate,cumulative_death_rate,sex_label,country_label
0,both,austria,2020-01-06,4664116.55737705,35,FALSE,0,7.5041006307275655e-6,0,both,Austria
0,both,austria,2020-01-13,4664549.046448087,47,FALSE,0,1.0076000816368106e-5,0,both,Austria
0,both,austria,2020-01-20,4664981.535519126,47,FALSE,0,1.0075066673285293e-5,0,both,Austria
0,both,austria,2020-01-27,4665414.024590164,52,FALSE,0,1.1145848948436674e-5,0,both,Austria
0,both,austria,2020-02-03,4665846.513661202,32,FALSE,0,6.858348191760427e-6,0,both,Austria
0,both,austria,2020-02-10,4666279.002732241,38,FALSE,0,8.143533633061784e-6,0,both,Austria
0,both,austria,2020-02-17,4666711.491803279,37,TRUE,37,7.928495272310633e-6,7.928495272310633e-6,both,Austria
0,both,austria,2020-02-24,4667143.980874317,51,TRUE,88,1.0927453750943835e-5,1.885521431535407e-5,both,Austria
0,both,austria,2020-03-02,4667576.469945354,46,TRUE,134,9.855221504392095e-6,2.870868873018567e-5,both,Austria
0,both,austria,2020-03-09,4668008.959016394,50,TRUE,184,1.0711204806799602e-5,3.941723368902253e-5,both,Austria
0,both,austria,2020-03-16,4668441.4480874315,47,TRUE,231,1.0067599759498959e-5,4.948118179668638e-5,both,Austria
0,both,austria,2020-03-23,4668873.93715847,48,TRUE,279,1.0280851581358684e-5,5.975744981664735e-5,both,Austria
0,both,austria,2020-03-30,4669306.426229509,41,TRUE,320,8.780747343906434e-6,6.85326621963429e-5,both,Austria
0,both,austria,2020-04-06,4669738.915300546,41,TRUE,361,8.77993411273213e-6,7.730624913893411e-5,both,Austria
0,both,austria,2020-04-13,4670171.404371585,46,TRUE,407,9.849745548298506e-6,8.714883561211939e-5,both,Austria
0,both,austria,2020-04-20,4670603.893442623,45,TRUE,452,9.63472840485971e-6,9.677549419992421e-5,both,Austria
0,both,austria,2020-04-27,4671036.382513661,38,TRUE,490,8.135239567444937e-6,1.0490177336968472e-4,both,Austria
0,both,austria,2020-05-04,4671468.8715846995,31,TRUE,521,6.636028378261223e-6,1.1152808984109991e-4,both,Austria
0,both,austria,2020-05-11,4671901.360655738,41,TRUE,562,8.775870215343187e-6,1.2029363563470417e-4,both,Austria
0,both,belgium,2020-01-06,6253285.540983606,54,FALSE,0,8.635460454522297e-6,0,both,Belgium
0,both,belgium,2020-01-13,6253418.9617486335,45,FALSE,0,7.196063509459267e-6,0,both,Belgium
0,both,belgium,2020-01-20,6253552.382513661,65,FALSE,0,1.0394092193383496e-5,0,both,Belgium
0,both,belgium,2020-01-27,6253685.803278688,74,FALSE,0,1.1833021729553988e-5,0,both,Belgium
0,both,belgium,2020-02-03,6253819.224043716,50,FALSE,0,7.995114378709212e-6,0,both,Belgium
0,both,belgium,2020-02-10,6253952.644808743,59,FALSE,0,9.434033698508173e-6,0,both,Belgium
0,both,belgium,2020-02-17,6254086.065573771,65,TRUE,65,1.0393205229105955e-5,1.0393205229105955e-5,both,Belgium
0,both,belgium,2020-02-24,6254219.486338798,50,TRUE,115,7.99460270129884e-6,1.8387586212987334e-5,both,Belgium
0,both,belgium,2020-03-02,6254352.907103825,50,TRUE,165,7.994432156715837e-6,2.638162611716226e-5,both,Belgium
0,both,belgium,2020-03-09,6254486.327868853,49,TRUE,214,7.834376387020772e-6,3.421543973107031e-5,both,Belgium
0,both,belgium,2020-03-16,6254619.74863388,75,TRUE,289,1.1991136634066577e-5,4.620584649660321e-5,both,Belgium
0,both,belgium,2020-03-23,6254753.169398908,46,TRUE,335,7.354406921291936e-6,5.355926779636519e-5,both,Belgium
0,both,belgium,2020-03-30,6254886.590163935,59,TRUE,394,9.432625060345604e-6,6.29907504029859e-5,both,Belgium
0,both,belgium,2020-04-06,6255020.010928962,54,TRUE,448,8.633065906367934e-6,7.16224727046821e-5,both,Belgium
0,both,belgium,2020-04-13,6255153.43169399,42,TRUE,490,6.714463595279991e-6,7.833540861159989e-5,both,Belgium
0,both,belgium,2020-04-20,6255286.852459017,43,TRUE,533,6.874185151572427e-6,8.520792292530474e-5,both,Belgium
0,both,belgium,2020-04-27,6255420.273224044,46,TRUE,579,7.3536226169966995e-6,9.255972815741497e-5,both,Belgium
0,both,belgium,2020-05-04,6255553.693989071,51,TRUE,630,8.152755534494994e-6,1.0071050954376168e-4,both,Belgium
0,both,belgium,2020-05-11,6255687.114754098,58,TRUE,688,9.271563448754727e-6,1.0997992504729744e-4,both,Belgium
0,both,belgium,2020-05-18,6255820.535519125,37,TRUE,725,5.914491918353863e-6,1.1589207137315002e-4,both,Belgium
0,both,bulgaria,2020-01-06,3543123.770491803,67,FALSE,0,1.890986720757431e-5,0,both,Bulgaria
0,both,bulgaria,2020-01-13,3542090.3142076503,66,FALSE,0,1.8633065265238417e-5,0,both,Bulgaria
0,both,bulgaria,2020-01-20,3541056.8579234974,67,FALSE,0,1.8920904884675957e-5,0,both,Bulgaria
0,both,bulgaria,2020-01-27,3540023.401639344,67,FALSE,0,1.8926428556651085e-5,0,both,Bulgaria
0,both,bulgaria,2020-02-03,3538989.9453551914,71,FALSE,0,2.0062221451966874e-5,0,both,Bulgaria
0,both,bulgaria,2020-02-10,3537956.4890710386,82,FALSE,0,2.3177221159531767e-5,0,both,Bulgaria
0,both,bulgaria,2020-02-17,3536923.0327868853,64,TRUE,64,1.8094824062250458e-5,1.8094824062250458e-5,both,Bulgaria
0,both,bulgaria,2020-02-24,3535889.576502732,54,TRUE,118,1.5271970131321288e-5,3.3372082879553926e-5,both,Bulgaria
0,both,bulgaria,2020-03-02,3534856.1202185797,61,TRUE,179,1.7256713689446583e-5,5.063855328542522e-5,both,Bulgaria
0,both,bulgaria,2020-03-09,3533822.6639344264,72,TRUE,251,2.0374536825183493e-5,7.102789921001467e-5,both,Bulgaria
0,both,bulgaria,2020-03-16,3532789.207650273,68,TRUE,319,1.9248247207262083e-5,9.02969243987736e-5,both,Bulgaria
0,both,bulgaria,2020-03-23,3531755.7513661203,49,TRUE,368,1.3874119120793187e-5,1.0419746605003863e-4,both,Bulgaria
0,both,bulgaria,2020-03-30,3530722.2950819675,65,TRUE,433,1.8409830784635808e-5,1.2263779584226623e-4,both,Bulgaria
0,both,bulgaria,2020-04-06,3529688.838797814,75,TRUE,508,2.1248331914023458e-5,1.4392203483098556e-4,both,Bulgaria
0,both,bulgaria,2020-04-13,3528655.3825136614,71,TRUE,579,2.0120978759173322e-5,1.640851648107233e-4,both,Bulgaria
0,both,bulgaria,2020-04-20,3527621.926229508,62,TRUE,641,1.757557961044555e-5,1.817088150047677e-4,both,Bulgaria
0,both,bulgaria,2020-04-27,3526588.4699453553,62,TRUE,703,1.758073008188582e-5,1.9934279431557632e-4,both,Bulgaria
0,both,bulgaria,2020-05-04,3525555.013661202,48,TRUE,751,1.3614877604803897e-5,2.1301610585849431e-4,both,Bulgaria
0,both,bulgaria,2020-05-11,3524521.5573770492,77,TRUE,828,2.1846936881073708e-5,2.349255030847926e-4,both,Bulgaria
0,both,bulgaria,2020-05-18,3523488.1010928964,65,TRUE,893,1.844762863817779e-5,2.534420365214272e-4,both,Bulgaria
0,both,bulgaria,2020-05-25,3522454.644808743,55,TRUE,948,1.5614111619877593e-5,2.691305057389811e-4,both,Bulgaria
0,both,bulgaria,2020-06-01,3521421.18852459,49,TRUE,997,1.3914836475590724e-5,2.8312432584008066e-4,both,Bulgaria
0,both,czechia,2020-01-06,5716866.180327868,64,FALSE,0,1.1194944569496558e-5,0,both,Czechia
0,both,czechia,2020-01-13,5715742.431693989,57,FALSE,0,9.972457765754634e-6,0,both,Czechia
0,both,czechia,2020-01-20,5714618.68306011,76,FALSE,0,1.3299225060332969e-5,0,both,Czechia
0,both,czechia,2020-01-27,5713494.934426229,59,FALSE,0,1.0326429038118156e-5,0,both,Czechia
0,both,czechia,2020-02-03,5712371.185792349,60,FALSE,0,1.0503519125163003e-5,0,both,Czechia
0,both,czechia,2020-02-10,5711247.43715847,65,FALSE,0,1.1381051287867086e-5,0,both,Czechia
0,both,czechia,2020-02-17,5710123.688524591,63,TRUE,63,1.103303596148164e-5,1.103303596148164e-5,both,Czechia
0,both,czechia,2020-02-24,5708999.939890711,66,TRUE,129,1.1560693763339479e-5,2.2595901446527165e-5,both,Czechia
0,both,czechia,2020-03-02,5707876.1912568305,59,TRUE,188,1.033659421176209e-5,3.293694426798768e-5,both,Czechia
0,both,czechia,2020-03-09,5706752.442622951,55,TRUE,243,9.63770560454183e-6,4.2581135670975727e-5,both,Czechia
0,both,czechia,2020-03-16,5705628.693989071,54,TRUE,297,9.464338269486316e-6,5.205386048217474e-5,both,Czechia
0,both,czechia,2020-03-23,5704504.945355192,61,TRUE,358,1.069330302705204e-5,6.27574177653218e-5,both,Czechia
0,both,czechia,2020-03-30,5703381.196721312,62,TRUE,420,1.0870744539334278e-5,7.364052752452252e-5,both,Czechia
0,both,czechia,2020-04-06,5702257.4480874315,52,TRUE,472,9.119195419252964e-6,8.277423534398844e-5,both,Czechia
0,both,czechia,2020-04-13,5701133.699453551,70,TRUE,542,1.2278259674336253e-5,9.506881062128927e-5,both,Czechia
0,both,czechia,2020-04-20,5700009.950819672,68,TRUE,610,1.1929803734855141e-5,1.0701735703325937e-4,both,Czechia
0,both,denmark,2020-01-06,3091376.606557377,27,FALSE,0,8.733973060004415e-6,0,both,Denmark
0,both,denmark,2020-01-13,3091369.3005464477,29,FALSE,0,9.380956197913267e-6,0,both,Denmark
0,both,denmark,2020-01-20,3091361.994535519,20,FALSE,0,6.469640254151157e-6,0,both,Denmark
0,both,denmark,2020-01-27,3091354.68852459,28,FALSE,0,9.057517762015058e-6,0,both,Denmark
0,both,denmark,2020-02-03,3091347.382513661,24,FALSE,0,7.763605001416868e-6,0,both,Denmark
0,both,denmark,2020-02-10,3091340.076502732,24,FALSE,0,7.7636233497647e-6,0,both,Denmark
0,both,denmark,2020-02-17,3091332.770491803,21,TRUE,21,6.793186485924351e-6,6.793186485924351e-6,both,Denmark
0,both,denmark,2020-02-24,3091325.464480874,24,TRUE,45,7.763660046720547e-6,1.4556862587601025e-5,both,Denmark
0,both,denmark,2020-03-02,3091318.158469945,23,TRUE,68,7.440191795523208e-6,2.199708878676427e-5,both,Denmark
